fips,state,abbv,fi_rate,fi_count,fi_rate_child,fi_count_child,fi_rate_below_185_fpl_child,cost_per_meal,food_budget_shortfall
1,Alabama,AL,17.0,829220.0,23.1,251800.0,88.0,3.02,423745000.0
2,Alaska,AK,12.9,95190.0,18.1,33200.0,73.0,3.6,57930000.0
4,Arizona,AZ,13.1,937300.0,19.0,311390.0,80.0,2.93,465259000.0
5,Arkansas,AR,17.3,521490.0,23.1,162270.0,90.0,2.77,244364000.0
6,California,CA,10.8,4291830.0,15.2,1362340.0,81.0,3.28,2385968000.0
8,Colorado,CO,9.9,566490.0,12.2,155120.0,81.0,3.29,315489000.0
9,Connecticut,CT,11.9,426620.0,16.0,117660.0,74.0,3.38,244114000.0
10,Delaware,DE,12.6,121850.0,19.0,38680.0,79.0,3.18,65663000.0
11,District of Columbia,DC,11.6,81400.0,19.1,24280.0,83.0,4.08,56189000.0
12,Florida,FL,13.0,2768480.0,19.4,819370.0,77.0,3.29,1540830000.0
13,Georgia,GA,12.5,1318500.0,16.2,405380.0,82.0,2.99,667166000.0
15,Hawaii,HI,11.2,159040.0,18.4,55710.0,56.0,3.39,91220000.0
16,Idaho,ID,10.8,189970.0,12.6,56120.0,90.0,3.04,97790000.0
17,Illinois,IL,10.1,1283550.0,12.7,363900.0,82.0,2.9,630473000.0
18,Indiana,IN,13.2,883260.0,17.5,274080.0,85.0,2.68,400962000.0
19,Iowa,IA,9.7,305100.0,13.9,102190.0,76.0,2.79,144058000.0
20,Kansas,KS,12.7,368770.0,18.4,129780.0,75.0,2.91,181639000.0
21,Kentucky,KY,14.8,662660.0,18.9,190600.0,87.0,2.68,300629000.0
22,Louisiana,LA,16.1,751920.0,24.6,269650.0,85.0,3.05,387680000.0
23,Maine,ME,12.9,173080.0,19.1,47460.0,75.0,3.61,105835000.0
24,Maryland,MD,11.0,667110.0,16.1,216070.0,68.0,3.2,361501000.0
25,Massachusetts,MA,8.9,617380.0,10.1,138760.0,86.0,3.63,379733000.0
26,Michigan,MI,13.6,1359650.0,14.7,318960.0,87.0,2.84,653547000.0
27,Minnesota,MN,8.2,461200.0,12.4,161880.0,85.0,3.08,240696000.0
28,Mississippi,MS,18.7,559350.0,23.0,162150.0,88.0,2.9,274731000.0
29,Missouri,MO,13.3,813840.0,15.2,209870.0,83.0,2.87,395122000.0
30,Montana,MT,10.3,109150.0,15.9,36560.0,82.0,3.02,55846000.0
31,Nebraska,NE,12.3,237440.0,16.7,79310.0,75.0,2.86,114880000.0
32,Nevada,NV,12.8,388420.0,19.5,134350.0,75.0,3.15,207140000.0
33,New Hampshire,NH,9.3,125590.0,13.3,34280.0,66.0,3.4,72230000.0
34,New Jersey,NJ,8.7,774860.0,11.3,219760.0,83.0,3.34,437705000.0
35,New Mexico,NM,15.1,315990.0,23.8,114180.0,86.0,2.91,155654000.0
36,New York,NY,11.1,2166060.0,16.9,685500.0,85.0,3.23,1182494000.0
37,North Carolina,NC,14.0,1456200.0,19.3,443040.0,87.0,2.92,719879000.0
38,North Dakota,ND,6.8,51610.0,9.6,16700.0,78.0,3.11,27186000.0
39,Ohio,OH,13.9,1624180.0,18.9,489160.0,80.0,2.79,767710000.0
40,Oklahoma,OK,15.1,594140.0,21.8,208110.0,79.0,2.89,290887000.0
41,Oregon,OR,11.9,498730.0,16.0,139220.0,84.0,3.13,264260000.0
42,Pennsylvania,PA,10.9,1401920.0,15.1,399270.0,82.0,3.11,737258000.0
44,Rhode Island,RI,11.4,120970.0,17.8,36270.0,85.0,3.38,69276000.0
45,South Carolina,SC,11.8,600440.0,16.2,178710.0,86.0,2.87,291600000.0
46,South Dakota,SD,10.8,95080.0,16.5,35330.0,83.0,3.01,48379000.0
47,Tennessee,TN,14.0,950290.0,17.7,267110.0,89.0,3.03,486768000.0
48,Texas,TX,15.0,4295240.0,21.6,1598940.0,78.0,2.64,1920819000.0
49,Utah,UT,11.0,347370.0,12.1,113190.0,66.0,2.91,171029000.0
50,Vermont,VT,11.3,70580.0,15.2,17550.0,66.0,3.5,41756000.0
51,Virginia,VA,9.9,842870.0,12.5,233530.0,73.0,3.1,442908000.0
53,Washington,WA,10.7,804080.0,14.7,244480.0,67.0,3.22,438026000.0
54,West Virginia,WV,13.9,250600.0,20.3,73770.0,92.0,2.7,114692000.0
55,Wisconsin,WI,8.9,515930.0,14.1,179180.0,79.0,2.84,248085000.0
56,Wyoming,WY,12.2,70640.0,15.9,21160.0,70.0,3.12,37306000.0
